Participant,Gender,Consonant,Following_Vowel,Rating,Stimuli,Curvature_Degree,Curvature_Location,MCI,real_1,imag_1,mod_1,F2_mean,F3_mean,COG,Dispersion,Skewness
P13,F,ch,a,humped,chaqu,0.299304802,0.500452764,3.107050142,8.522519859,-65.79361255,66.34329505,2170.971757,2801.463471,3041.483618,2198.201591,0.976012572
P13,F,s,a,Alveolar,sahuang,0.321764733,0.664588166,2.681077865,-6.796165675,-50.12912613,50.58771742,1978.210976,3121.377545,5719.667759,3347.027868,-0.604658452
P13,F,c,a,Alveolar,cayao,0.301119556,0.556951992,3.126892887,-1.580302776,-56.01435587,56.03664355,1911.681414,3101.04232,3976.837625,2913.135212,0.319963396
P13,F,sh,a,humped,shafa,0.241656604,0.461425474,2.207973492,31.03054407,-52.75911479,61.20799669,2649.168767,3129.891475,4553.074595,2428.624787,0.0828152
P13,F,zh,u,humped,zhurou,0.387337698,0.608326724,2.450138978,-1.642488288,-63.65530359,63.6764905,2012.791463,2987.768703,5149.161548,2139.370535,-0.619963901
P13,F,zh,i,humped,zhidao,0.341216231,0.404507143,2.719212996,26.15320329,-55.31041346,61.18195714,2544.491175,3480.053842,4381.586013,2177.414233,0.263881953
P13,F,z,u,Alveolar,zufang,0.35776853,0.668249151,2.060287518,1.471522318,-64.47494249,64.4917327,2145.351329,3478.323182,5296.081939,3204.04771,-0.219042409
P13,F,c,u,Alveolar,cuxin,0.42984236,0.60264327,3.192221901,-10.07271196,-59.94709342,60.78744554,2010.854394,3295.058846,5794.51619,2841.383565,-0.44880933
P13,F,s,u,Alveolar,suxing,0.342458808,0.575297901,2.296450827,4.999090305,-65.46378971,65.65438803,1845.477763,3264.63535,5977.203308,2601.784107,-0.725922728
P14,F,sh,u,humped,shuben,0.455982706,0.456239398,2.857923482,20.99678522,-54.79502877,58.68015139,2258.394545,3271.879361,4671.026333,2194.891478,-0.132174055
P14,F,ch,u,humped,churu,0.533693876,0.437472237,3.338566533,10.06292825,-57.34707702,58.22327514,1855.257281,3056.181938,4281.39633,2572.158166,-0.019513311
P14,F,z,a,Alveolar,zadao,0.202414587,0.418614388,2.58709213,26.91422895,-50.70793561,57.40793023,2026.924779,3360.716011,6134.651294,3213.62259,-0.719525532
P14,F,s,i,Alveolar,siji,0.311419962,0.555165557,2.652675722,7.946380129,-65.20505349,65.68747185,1981.89945,3075.138302,6936.91326,2844.506029,-1.10478016
P14,F,ch,i,humped,chifan,0.343076884,0.385904928,2.566079634,24.69824353,-55.46317587,60.71381318,2289.90788,2994.582651,3561.684298,2058.537533,1.160206905
P14,F,c,i,Alveolar,ciya,0.309423755,0.553036292,3.121570867,13.88363682,-62.02238291,63.55730763,1984.322635,3053.724456,6059.415781,3196.838383,-0.574060651
P14,F,sh,i,humped,shibai,0.333472564,0.356965959,2.230483779,29.03601615,-51.60527784,59.21313144,2217.526855,2881.029214,3460.181611,1932.812714,1.003881757
P14,F,z,i,Alveolar,ziben,0.318791464,0.606874335,2.709849933,-5.192014577,-64.54452405,64.75301229,1960.130481,3275.878717,6626.665228,2984.820707,-0.989504217
P14,F,zh,a,humped,zhadui,0.391358445,0.363762127,3.216224435,27.4827548,-50.9276931,57.86995538,2365.706498,3069.726203,3602.856831,2220.754357,0.763182617
P14,F,ch,a,humped,chaqu,0.35152943,0.391530033,2.480014713,21.38605623,-58.54129442,62.32532835,2058.168185,2769.547989,2321.586709,1930.903916,1.330967276
P14,F,s,a,Alveolar,sahuang,0.215349311,0.640069891,2.660679963,24.43155846,-58.75727069,63.63425106,2041.589577,3137.695062,6163.806218,2789.846931,-0.89171416
P14,F,c,a,Alveolar,cayao,0.288167315,0.506137486,2.923530433,16.28754678,-58.39250544,60.62152153,1894.625262,2914.270935,2066.192716,2780.207802,1.343514048
P14,F,sh,a,humped,shafa,0.348469594,0.402935867,2.284206221,22.09286148,-58.67841975,62.69969276,2212.30184,2836.325171,3599.101241,2208.60647,0.543060756
P14,F,zh,u,humped,zhurou,0.440379467,0.425835595,2.329718398,18.37564813,-57.4278475,60.29612022,2239.252437,3562.316328,3970.683813,2490.135736,0.11739763
P14,F,zh,i,humped,zhidao,0.406349588,0.360938911,2.513667557,26.09530685,-51.82580204,58.0248119,2370.041297,3350.193882,3468.67054,1936.363173,0.714592947
P14,F,z,u,Alveolar,zufang,0.345764234,0.624596512,2.434844463,-9.324909665,-61.18770855,61.89418081,1890.785692,3315.189968,4869.282138,3121.649133,-0.208518421
P14,F,c,u,Alveolar,cuxin,0.439957041,0.639446227,3.080579398,-2.711002877,-60.81662129,60.87701505,1821.632172,3114.046577,4094.49812,3002.821814,0.227253739
P14,F,s,u,Alveolar,suxing,0.422192451,0.56767415,2.848525622,6.708456912,-62.43688113,62.7962381,1926.358933,3412.46929,5360.866756,3110.014431,-0.546515869
P15,F,sh,u,bunched,shuben,0.232150699,0.347230053,4.304534105,20.7226463,-54.43115251,58.24241095,2289.926599,3395.444778,4390.970101,2440.594739,0.228045095
P15,F,ch,u,humped,churu,0.352346152,0.413368328,2.302441416,29.36933842,-49.71235272,57.73972681,2129.248512,3382.986451,4539.228935,2704.886952,-0.073486874
P15,F,z,a,Alveolar,zadao,0.241550589,0.615356778,2.531643123,35.05464826,-26.01196553,43.65146865,1772.919188,3096.763257,4439.048384,3400.035913,0.139581254
P15,F,s,i,Alveolar,siji,0.271491036,0.480081609,2.063952848,33.31326363,-52.34016227,62.04245418,2194.572744,3264.458539,6780.696572,2882.289512,-0.969199911
P15,F,ch,i,humped,chifan,0.299229586,0.397516237,2.145448614,30.68026364,-51.09002258,59.5942026,2365.640747,3514.595775,4217.668514,2311.564752,0.569205702
P15,F,c,i,Alveolar,ciya,0.262015388,0.638348557,2.693393537,30.20488884,-38.73281246,49.11787934,2129.051907,3379.868939,5914.549419,2944.059862,-0.480426122
P15,F,sh,i,humped,shibai,0.27293467,0.367273358,1.928349672,31.18638367,-53.17180114,61.64276895,2337.311945,3377.963311,4070.24707,2080.323202,0.495384754
